zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
90638,0.53,0.02,0.21,38.58,0.01,0.32,0.9,0.71,0.63,111829.09
90640,0.6,0.01,0.13,36.44,0.01,0.19,0.72,0.69,0.45,70492.71
90650,0.48,0.04,0.12,35.18,0.02,0.16,0.73,0.71,0.57,79218.47
90651,0.44,0.03,0.15,35.6,0.03,0.11,0.73,0.72,0.52,81246.0
90652,0.53,0.05,0.11,36.1,0.01,0.21,0.78,0.73,0.65,91294.0
90660,0.56,0.01,0.04,36.85,0.01,0.14,0.72,0.72,0.52,82746.0
90670,0.51,0.05,0.07,36.23,0.01,0.14,0.69,0.63,0.51,77026.88
90701,0.27,0.09,0.47,43.58,0.01,0.39,0.85,0.73,0.64,112960.75
90702,0.35,0.04,0.42,40.7,0.0,0.32,0.85,0.66,0.52,91054.0
90703,0.3,0.05,0.52,42.37,0.01,0.44,0.89,0.7,0.65,111968.58
90706,0.32,0.14,0.14,33.74,0.02,0.18,0.78,0.71,0.47,76118.61
90707,0.43,0.03,0.1,34.3,0.01,0.2,0.74,0.8,0.45,83147.0
90710,0.42,0.12,0.22,39.27,0.02,0.29,0.8,0.73,0.43,81897.57
90711,0.49,0.06,0.22,37.4,0.02,0.27,0.91,0.7,0.48,103641.0
90712,0.5,0.11,0.17,40.38,0.02,0.29,0.9,0.75,0.49,105545.8
90713,0.63,0.06,0.11,40.06,0.01,0.32,0.93,0.78,0.56,116796.4
90715,0.41,0.08,0.22,34.63,0.02,0.26,0.84,0.74,0.48,86890.0
90716,0.29,0.05,0.14,32.3,0.03,0.12,0.67,0.63,0.5,54285.67
90717,0.54,0.04,0.22,42.58,0.01,0.38,0.88,0.74,0.54,118428.0
90723,0.54,0.07,0.03,31.55,0.02,0.1,0.61,0.69,0.5,61452.9
90731,0.58,0.07,0.05,36.2,0.02,0.22,0.77,0.7,0.37,80533.75
90732,0.78,0.02,0.09,48.65,0.01,0.46,0.95,0.74,0.57,158995.5
90734,0.63,0.01,0.19,47.2,0.0,0.53,0.93,0.76,0.63,146572.0
90744,0.52,0.05,0.03,30.0,0.01,0.07,0.54,0.7,0.46,55955.57
90745,0.35,0.07,0.31,37.16,0.01,0.23,0.75,0.72,0.55,91025.55
90746,0.24,0.5,0.07,40.45,0.03,0.24,0.82,0.74,0.48,100397.75
90747,0.16,0.63,0.1,40.2,0.05,0.35,0.91,0.76,0.42,104223.0
90755,0.46,0.12,0.25,35.5,0.01,0.38,0.88,0.76,0.38,90448.67
90801,0.55,0.15,0.08,37.4,0.02,0.3,0.8,0.64,0.2,51427.0
90802,0.59,0.18,0.06,34.64,0.03,0.37,0.88,0.72,0.24,75444.8
90803,0.82,0.05,0.07,46.37,0.0,0.57,0.95,0.79,0.32,175610.57
90804,0.62,0.12,0.13,36.3,0.02,0.37,0.83,0.72,0.35,86048.56
90805,0.31,0.21,0.11,32.17,0.03,0.16,0.73,0.68,0.42,72149.27
90806,0.49,0.14,0.18,31.72,0.01,0.14,0.62,0.68,0.39,62923.0
90807,0.51,0.15,0.16,39.64,0.02,0.36,0.91,0.78,0.41,109559.2
90808,0.74,0.04,0.1,43.01,0.0,0.42,0.94,0.76,0.6,131621.71
90810,0.37,0.16,0.21,32.88,0.02,0.14,0.74,0.65,0.47,71768.78
90813,0.52,0.12,0.14,29.44,0.02,0.14,0.6,0.68,0.33,48421.64
90814,0.7,0.09,0.08,35.4,0.01,0.45,0.91,0.78,0.27,91846.5
90815,0.75,0.05,0.11,42.82,-0.0,0.48,0.94,0.72,0.5,129001.8
90822,0.5,0.14,0.29,42.6,0.02,0.59,0.95,0.85,0.27,163835.0
90853,0.83,0.01,0.06,43.1,0.0,0.61,0.93,0.82,0.31,152329.0
91001,0.41,0.3,0.05,40.76,0.01,0.35,0.86,0.78,0.5,107597.57
91003,0.78,0.11,0.06,49.7,-0.0,0.63,0.96,0.77,0.61,197635.0
91006,0.35,0.02,0.53,43.98,0.0,0.45,0.88,0.74,0.6,132284.78
91007,0.26,0.02,0.6,41.86,0.0,0.49,0.9,0.7,0.56,102681.6
91008,0.57,0.06,0.28,46.37,-0.01,0.47,0.92,0.75,0.54,146985.67
91009,0.62,0.11,0.14,38.6,0.01,0.21,0.8,0.71,0.39,84819.0
91010,0.51,0.04,0.09,35.58,0.02,0.19,0.76,0.73,0.53,82496.75
91011,0.66,0.01,0.26,46.16,0.0,0.72,0.97,0.73,0.76,253965.0
91016,0.57,0.03,0.25,42.11,0.01,0.41,0.91,0.75,0.54,119399.88
91017,0.72,0.04,0.08,38.6,0.01,0.3,0.83,0.77,0.29,89483.0
91020,0.65,0.0,0.25,40.6,-0.01,0.51,0.93,0.79,0.6,109974.0
