zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
91371,0.68,0.08,0.14,35.4,-0.04,0.59,0.99,0.83,0.3,108975.0
91381,0.64,0.04,0.22,39.55,-0.0,0.51,0.95,0.74,0.62,186481.5
91384,0.74,0.03,0.12,38.08,-0.0,0.39,0.93,0.74,0.68,133284.83
91386,0.55,0.1,0.04,29.1,0.01,0.16,0.77,0.77,0.32,57174.0
91387,0.76,0.04,0.07,39.02,0.02,0.34,0.93,0.72,0.69,137548.2
91390,0.78,0.02,0.08,43.33,0.03,0.32,0.9,0.69,0.7,140052.25
91394,0.55,0.06,0.21,43.0,0.02,0.37,0.93,0.72,0.51,89710.0
91395,0.48,0.02,0.14,39.2,0.02,0.19,0.71,0.69,0.36,70219.0
91401,0.65,0.05,0.06,36.36,0.01,0.36,0.82,0.77,0.38,88143.07
91402,0.41,0.03,0.13,32.2,0.02,0.15,0.6,0.72,0.46,55347.06
91403,0.77,0.07,0.08,37.72,0.01,0.56,0.96,0.8,0.33,147218.17
91404,0.73,0.03,0.01,27.8,0.02,0.09,0.53,0.7,0.39,35072.0
91405,0.41,0.04,0.08,33.85,0.01,0.2,0.71,0.73,0.4,61127.17
91406,0.45,0.04,0.09,35.42,0.01,0.25,0.78,0.76,0.43,76743.31
91409,0.41,0.02,0.15,33.8,0.01,0.26,0.75,0.75,0.41,51203.0
91411,0.66,0.05,0.02,30.6,0.02,0.18,0.63,0.69,0.35,47008.0
91423,0.81,0.04,0.06,40.0,0.01,0.61,0.96,0.8,0.38,156342.6
91436,0.78,0.06,0.07,44.23,-0.0,0.57,0.95,0.84,0.62,236851.0
91496,0.78,0.09,0.05,39.6,0.02,0.57,0.94,0.79,0.43,144599.0
91501,0.73,0.02,0.12,40.7,0.01,0.45,0.94,0.77,0.57,110852.5
91502,0.67,0.04,0.11,38.37,0.02,0.33,0.85,0.75,0.39,79364.83
91504,0.71,0.02,0.15,42.8,-0.0,0.44,0.92,0.72,0.63,125591.5
91505,0.77,0.02,0.09,40.18,0.0,0.49,0.94,0.79,0.44,136840.0
91506,0.72,0.02,0.11,41.3,0.01,0.33,0.87,0.74,0.42,100447.0
91508,0.8,0.02,0.1,41.0,0.02,0.36,0.81,0.83,0.3,72899.0
91510,0.62,0.02,0.13,40.0,-0.0,0.38,0.91,0.79,0.57,122118.0
91523,0.68,0.04,0.13,32.1,0.01,0.5,0.95,0.79,0.24,133213.0
91601,0.69,0.07,0.07,35.12,0.02,0.35,0.82,0.76,0.3,83628.22
91602,0.72,0.06,0.07,36.8,-0.0,0.54,0.93,0.79,0.28,114638.67
91603,0.67,0.08,0.08,32.4,0.0,0.41,0.9,0.71,0.21,54251.0
91604,0.78,0.06,0.09,38.88,-0.0,0.66,0.97,0.8,0.31,160805.0
91605,0.61,0.03,0.08,34.91,0.01,0.17,0.67,0.67,0.45,64084.88
91606,0.65,0.05,0.05,34.95,0.01,0.22,0.75,0.7,0.44,68368.18
91607,0.78,0.07,0.07,37.57,0.0,0.48,0.93,0.76,0.32,115589.71
91610,0.79,0.07,0.07,45.0,0.02,0.57,0.96,0.79,0.31,206553.0
91702,0.45,0.03,0.09,31.69,0.01,0.17,0.76,0.68,0.52,77233.29
91706,0.36,0.02,0.18,34.21,0.01,0.12,0.66,0.7,0.58,69701.56
91709,0.5,0.05,0.34,38.58,0.0,0.47,0.94,0.74,0.69,131927.33
91710,0.59,0.02,0.1,34.97,0.01,0.21,0.78,0.74,0.58,93154.64
91711,0.65,0.07,0.1,41.56,0.01,0.52,0.92,0.78,0.49,123415.8
91722,0.47,0.02,0.12,36.08,0.01,0.19,0.8,0.74,0.56,86986.5
91723,0.51,0.04,0.13,36.36,0.01,0.25,0.87,0.75,0.49,88166.8
91724,0.55,0.03,0.12,40.16,0.01,0.26,0.85,0.72,0.55,100192.0
91731,0.34,0.0,0.43,39.5,0.01,0.19,0.66,0.69,0.6,69866.2
91732,0.46,0.01,0.28,36.26,0.01,0.11,0.58,0.67,0.51,62330.17
91733,0.54,0.0,0.18,34.43,0.01,0.09,0.51,0.66,0.46,55424.0
91734,0.5,0.0,0.25,32.7,0.01,0.11,0.56,0.69,0.51,54233.0
91740,0.68,0.03,0.12,38.91,0.01,0.32,0.88,0.72,0.55,103711.43
91741,0.74,0.01,0.1,43.03,0.02,0.43,0.94,0.74,0.6,130625.71
91744,0.39,0.02,0.12,33.56,0.01,0.13,0.66,0.7,0.57,76977.67
91745,0.37,0.01,0.41,41.68,0.01,0.33,0.86,0.72,0.64,103927.67
91746,0.36,0.01,0.13,37.74,0.01,0.13,0.66,0.67,0.57,83391.4
91747,0.35,0.01,0.06,33.2,0.01,0.06,0.6,0.71,0.53,67624.0
91748,0.3,0.01,0.55,43.48,0.01,0.39,0.86,0.7,0.61,98963.3
91750,0.72,0.05,0.11,43.69,0.02,0.41,0.92,0.7,0.57,131481.89
91754,0.18,0.01,0.59,43.6,0.01,0.29,0.78,0.68,0.48,79676.8
91755,0.09,0.0,0.76,43.98,0.01,0.3,0.75,0.69,0.52,78135.75
91765,0.26,0.04,0.59,42.48,0.01,0.55,0.94,0.71,0.66,120233.4
91766,0.59,0.05,0.11,31.51,0.02,0.15,0.61,0.67,0.52,63737.89
91767,0.56,0.08,0.07,34.23,0.02,0.18,0.71,0.7,0.5,77395.36
91768,0.51,0.05,0.06,30.05,0.02,0.13,0.65,0.65,0.46,59878.17
91770,0.21,0.0,0.56,42.1,0.0,0.19,0.64,0.69,0.55,69747.64
91771,0.13,0.0,0.59,37.5,0.0,0.13,0.6,0.68,0.54,61107.0
