apts_url,beds,baths,sqft,price
https://www.apartments.com/g8-by-clg-marina-del-rey-ca/9cp0475/,0.0,1.0,513.0,6499.0
https://www.apartments.com/g8-by-clg-marina-del-rey-ca/9cp0475/,1.0,1.0,829.0,2499.0
https://www.apartments.com/g8-by-clg-marina-del-rey-ca/9cp0475/,2.0,2.0,1550.0,4245.0
https://www.apartments.com/24-north-chatsworth-ca/gmy3l7y/,1.0,1.0,711.0,2300.0
https://www.apartments.com/24-north-chatsworth-ca/gmy3l7y/,2.0,2.0,1050.0,3475.0
https://www.apartments.com/4025-grand-view-blvd-culver-city-ca-culver-city-ca/8rbhex0/,3.0,2.5,1600.0,4495.0
https://www.apartments.com/imt-6500-van-nuys-ca/6n5jy9r/,1.0,1.0,714.0,2095.0
https://www.apartments.com/imt-6500-van-nuys-ca/6n5jy9r/,2.0,2.0,1153.0,3085.0
https://www.apartments.com/eaves-woodland-hills-woodland-hills-ca/pwm6jhr/,1.0,1.0,664.0,1718.0
https://www.apartments.com/eaves-woodland-hills-woodland-hills-ca/pwm6jhr/,2.0,2.0,988.0,2174.0
https://www.apartments.com/madison-toluca-north-hollywood-ca/7zclk4z/,2.0,2.0,871.0,2600.0
https://www.apartments.com/vert-apartments-canoga-park-ca/tc615y8/,1.0,1.0,1087.0,3470.0
https://www.apartments.com/vert-apartments-canoga-park-ca/tc615y8/,1.0,2.0,1356.0,3575.0
https://www.apartments.com/vert-apartments-canoga-park-ca/tc615y8/,2.0,2.0,1173.0,3690.0
https://www.apartments.com/the-r2-by-clg-los-angeles-ca/fjy5svt/,1.0,2.0,600.0,2699.0
https://www.apartments.com/the-r2-by-clg-los-angeles-ca/fjy5svt/,2.0,2.0,1600.0,5049.0
https://www.apartments.com/marina-tower-marina-del-rey-ca/1929r57/,0.0,1.0,450.0,2195.0
https://www.apartments.com/marina-tower-marina-del-rey-ca/1929r57/,1.0,1.0,750.0,2495.0
https://www.apartments.com/ava-burbank-burbank-ca/5v597vq/,1.0,1.0,700.0,2067.0
https://www.apartments.com/ava-burbank-burbank-ca/5v597vq/,2.0,1.0,875.0,2294.0
https://www.apartments.com/ava-burbank-burbank-ca/5v597vq/,2.0,2.0,1194.0,2480.0
https://www.apartments.com/hampshire-place-los-angeles-ca/dr58z7k/,1.0,1.0,589.0,1904.0
https://www.apartments.com/hampshire-place-los-angeles-ca/dr58z7k/,0.0,1.0,455.0,1675.0
https://www.apartments.com/palms-court-los-angeles-ca/mcjnykh/,2.0,2.0,1040.0,2995.0
https://www.apartments.com/alina-los-angeles-ca/tltn528/,0.0,1.0,715.0,2835.0
https://www.apartments.com/lumina-hollywood-los-angeles-ca/nrmg09n/,0.0,1.0,576.0,2046.0
https://www.apartments.com/lumina-hollywood-los-angeles-ca/nrmg09n/,1.0,1.0,690.0,2427.0
https://www.apartments.com/lumina-hollywood-los-angeles-ca/nrmg09n/,2.0,1.0,911.0,3230.0
https://www.apartments.com/7950-west-sunset-los-angeles-ca/8h53150/,0.0,1.0,591.0,2133.0
https://www.apartments.com/7950-west-sunset-los-angeles-ca/8h53150/,1.0,1.0,780.0,2508.0
https://www.apartments.com/the-glendon-los-angeles-ca/xvfrs5n/,1.0,1.0,857.0,3050.0
https://www.apartments.com/the-glendon-los-angeles-ca/xvfrs5n/,2.0,2.0,1209.0,4595.0
https://www.apartments.com/the-glendon-los-angeles-ca/xvfrs5n/,2.0,2.5,1466.0,4995.0
https://www.apartments.com/the-glendon-los-angeles-ca/xvfrs5n/,3.0,3.0,1500.0,5695.0
https://www.apartments.com/sunset-vine-tower-los-angeles-ca/l2qp91d/,1.0,1.0,858.0,3814.0
https://www.apartments.com/sunset-vine-tower-los-angeles-ca/l2qp91d/,1.0,2.0,1110.0,5032.0
https://www.apartments.com/the-gershwin-los-angeles-ca/kymc268/,0.0,1.0,622.0,1995.0
https://www.apartments.com/the-gershwin-los-angeles-ca/kymc268/,1.0,1.0,755.0,1995.0
https://www.apartments.com/the-gershwin-los-angeles-ca/kymc268/,2.0,1.0,572.0,2149.0
https://www.apartments.com/the-gershwin-los-angeles-ca/kymc268/,2.0,1.5,760.0,2999.0
https://www.apartments.com/modera-hollywood-los-angeles-ca/zmm3ydz/,0.0,1.0,481.0,2925.0
https://www.apartments.com/modera-hollywood-los-angeles-ca/zmm3ydz/,1.0,1.0,830.0,3954.0
https://www.apartments.com/modera-hollywood-los-angeles-ca/zmm3ydz/,2.0,2.0,944.0,4652.0
https://www.apartments.com/modera-hollywood-los-angeles-ca/zmm3ydz/,2.0,1.5,944.0,4340.0
https://www.apartments.com/modera-hollywood-los-angeles-ca/zmm3ydz/,3.0,2.0,1215.0,7860.0
https://www.apartments.com/woodcliff-apartments-los-angeles-ca/z23h3gx/,0.0,1.0,550.0,2075.0
https://www.apartments.com/woodcliff-apartments-los-angeles-ca/z23h3gx/,1.0,2.0,1000.0,2625.0
https://www.apartments.com/playa-summit-los-angeles-ca/6qn3ezv/,1.0,1.0,700.0,1955.0
https://www.apartments.com/playa-summit-los-angeles-ca/6qn3ezv/,1.0,2.0,866.0,2395.0
https://www.apartments.com/playa-summit-los-angeles-ca/6qn3ezv/,2.0,2.0,960.0,2480.0
https://www.apartments.com/radius-koreatown-los-angeles-ca/sy1sy95/,0.0,1.0,578.0,0.0
https://www.apartments.com/radius-koreatown-los-angeles-ca/sy1sy95/,1.0,1.0,900.0,0.0
https://www.apartments.com/radius-koreatown-los-angeles-ca/sy1sy95/,2.0,2.0,1030.0,0.0
https://www.apartments.com/sunset-vine-los-angeles-ca/s4s6ps4/,2.0,2.0,1001.0,2870.0
https://www.apartments.com/crosby-los-angeles-ca/ldfhdkg/,0.0,1.0,760.0,2720.0
https://www.apartments.com/crosby-los-angeles-ca/ldfhdkg/,1.0,1.0,863.0,3452.0
https://www.apartments.com/crosby-los-angeles-ca/ldfhdkg/,1.0,1.5,947.0,3875.0
https://www.apartments.com/crosby-los-angeles-ca/ldfhdkg/,2.0,1.0,823.0,2855.0
https://www.apartments.com/crosby-los-angeles-ca/ldfhdkg/,2.0,2.0,1291.0,4260.0
https://www.apartments.com/crosby-los-angeles-ca/ldfhdkg/,2.0,2.5,1456.0,6195.0
https://www.apartments.com/crosby-los-angeles-ca/ldfhdkg/,3.0,3.0,1438.0,4670.0
https://www.apartments.com/crosby-los-angeles-ca/ldfhdkg/,3.0,2.5,1621.0,6095.0
https://www.apartments.com/circa-la-los-angeles-ca/ss4bxl4/,1.0,1.0,923.0,4525.0
https://www.apartments.com/circa-la-los-angeles-ca/ss4bxl4/,2.0,2.0,1285.0,5145.0
https://www.apartments.com/circa-la-los-angeles-ca/ss4bxl4/,2.0,2.5,1898.0,8180.0
https://www.apartments.com/circa-la-los-angeles-ca/ss4bxl4/,3.0,3.5,2878.0,17725.0
https://www.apartments.com/circa-la-los-angeles-ca/ss4bxl4/,3.0,4.0,3842.0,23550.0
https://www.apartments.com/park-fifth-los-angeles-ca/dnd9tsh/,3.0,2.0,1505.0,6410.0
https://www.apartments.com/atelier-apartments-los-angeles-ca/hk60zl1/,0.0,1.0,473.0,2135.0
https://www.apartments.com/eaves-los-feliz-los-angeles-ca/h6j5rw0/,1.0,1.0,750.0,2209.0
https://www.apartments.com/medici-los-angeles-ca/ln7xd0d/,0.0,1.0,468.0,1914.0
https://www.apartments.com/medici-los-angeles-ca/ln7xd0d/,1.0,1.0,617.0,2101.0
https://www.apartments.com/medici-los-angeles-ca/ln7xd0d/,2.0,2.0,946.0,2709.0
https://www.apartments.com/the-emerson-los-angeles-ca/tmcxvd8/,0.0,1.0,599.0,2595.0
https://www.apartments.com/the-emerson-los-angeles-ca/tmcxvd8/,1.0,1.0,1156.0,2695.0
https://www.apartments.com/romaine-st-luxury-townhomes-los-angeles-ca/kqe0e5c/,1.0,1.5,700.0,2475.0
https://www.apartments.com/romaine-st-luxury-townhomes-los-angeles-ca/kqe0e5c/,2.0,2.0,1225.0,3209.0
https://www.apartments.com/alexandria-luxury-townhomes-los-angeles-ca/mxrwkll/,1.0,1.5,800.0,2600.0
https://www.apartments.com/alexandria-luxury-townhomes-los-angeles-ca/mxrwkll/,2.0,2.0,987.0,2800.0
https://www.apartments.com/museum-terrace-los-angeles-ca/00lmwh1/,1.0,1.0,702.0,2734.0
https://www.apartments.com/museum-terrace-los-angeles-ca/00lmwh1/,2.0,2.0,988.0,2711.0
https://www.apartments.com/amp-lofts-los-angeles-ca/x0mc2hq/,0.0,1.0,544.0,1895.0
https://www.apartments.com/amp-lofts-los-angeles-ca/x0mc2hq/,1.0,1.0,759.0,2725.0
