apts_url,beds,baths,sqft,price
https://www.apartments.com/2-br-2-bath-house-5909-sunny-palms-16-bakersfield-ca/xz430cq/,2.0,2.0,1160.0,1400.0
https://www.apartments.com/4-br-2-bath-house-11112-chappellet-ct-bakersfield-ca/snq3gl4/,4.0,2.0,1850.0,2250.0
https://www.apartments.com/3-br-2-bath-house-8712-sand-fox-court-bakersfield-ca/xes9b8q/,3.0,2.0,1399.0,1575.0
https://www.apartments.com/3-br-25-bath-house-9721-mesa-oak-dr-bakersfield-ca/81s1pw0/,3.0,2.5,2303.0,1950.0
https://www.apartments.com/4-br-2-bath-house-15610-marty-ave-bakersfield-ca/609ccer/,4.0,2.0,2122.0,2175.0
https://www.apartments.com/4-br-2-bath-house-4701-ironwood-way-bakersfield-ca/4fv7ndh/,4.0,2.0,1887.0,1950.0
https://www.apartments.com/2-br-2-bath-house-5101-dunsmuir-rd-20-bakersfield-ca/ptnxper/,2.0,2.0,1145.0,1250.0
https://www.apartments.com/4-br-2-bath-house-216-n-stine-rd-bakersfield-ca/mevqrbj/,4.0,2.0,1622.0,1400.0
https://www.apartments.com/4101-cyclone-dr-bakersfield-ca/2s1jl1c/,4.0,2.0,1914.0,1535.0
https://www.apartments.com/513-corregidora-ave-bakersfield-ca/7yprt7w/,3.0,2.0,1438.0,1650.0
https://www.apartments.com/4-br-3-bath-house-10111-barnes-drive-bakersfield-ca/fx9pttv/,4.0,3.0,3113.0,2650.0
https://www.apartments.com/golden-valley-luxury-apartments-bakersfield-ca/ld2weze/,2.0,1.5,1059.0,1350.0
https://www.apartments.com/golden-valley-luxury-apartments-bakersfield-ca/ld2weze/,2.0,1.5,1059.0,1350.0
https://www.apartments.com/the-henley-apartment-homes-suisun-city-ca/h0e50t1/,2.0,1.0,850.0,1820.0
https://www.apartments.com/the-henley-apartment-homes-suisun-city-ca/h0e50t1/,1.0,1.0,750.0,1625.0
https://www.apartments.com/woodcreek-senior-commons-fairfield-ca/bq38p4c/,1.0,1.0,675.0,1345.0
https://www.apartments.com/4-br-3-bath-house-3212-bear-creek-drive-fairfield-ca/9ceg0r6/,4.0,3.0,2492.0,3000.0
https://www.apartments.com/renew-on-sunset-suisun-city-ca/q4h2lpx/,1.0,1.0,629.0,1904.0
https://www.apartments.com/parkwood-fairfield-ca/9jfz2z6/,1.0,1.0,592.0,1650.0
https://www.apartments.com/parkwood-fairfield-ca/9jfz2z6/,2.0,1.0,810.0,1909.0
https://www.apartments.com/autumn-oaks-apartments-suisun-city-ca/wk070el/,2.0,1.5,1000.0,1900.0
