zipcode,confirmed_cases,deaths
93513,247,15
92389,247,15
93390,34973,428
93249,34973,428
93516,34973,428
93312,34973,428
93304,34973,428
93305,34973,428
93504,34973,428
93536,34973,428
93554,34973,428
93276,34973,428
93268,34973,428
93252,34973,428
93561,34973,428
93306,34973,428
93308,34973,428
93224,34973,428
93387,34973,428
93255,34973,428
93302,34973,428
93287,34973,428
93528,34973,428
93226,34973,428
93220,34973,428
93280,34973,428
93560,34973,428
93518,34973,428
93307,34973,428
93313,34973,428
93389,34973,428
93238,34973,428
93531,34973,428
93386,34973,428
93388,34973,428
93285,34973,428
93581,34973,428
93502,34973,428
93219,34973,428
93461,34973,428
93241,34973,428
93225,34973,428
93283,34973,428
93555,34973,428
93501,34973,428
93527,34973,428
93301,34973,428
93311,34973,428
93380,34973,428
93222,34973,428
93215,34973,428
93243,34973,428
93203,34973,428
93250,34973,428
93505,34973,428
93314,34973,428
93384,34973,428
93556,34973,428
93251,34973,428
93303,34973,428
93240,34973,428
93206,34973,428
93263,34973,428
93523,34973,428
93524,34973,428
93309,34973,428
93385,34973,428
93205,34973,428
93266,8745,84
93656,8745,84
93274,8745,84
93212,8745,84
93245,8745,84
93239,8745,84
93631,8745,84
93242,8745,84
93246,8745,84
93202,8745,84
93230,8745,84
93204,8745,84
93232,8745,84
95467,740,17
95464,740,17
95493,740,17
95423,740,17
95485,740,17
95443,740,17
95453,740,17
95469,740,17
95422,740,17
95458,740,17
95457,740,17
95424,740,17
95451,740,17
95461,740,17
95426,740,17
95435,740,17
96119,780,1
96130,780,1
96121,780,1
96136,780,1
96128,780,1
96056,780,1
96117,780,1
96109,780,1
96123,780,1
96127,780,1
96009,780,1
96113,780,1
96114,780,1
96132,780,1
96137,780,1
96068,780,1
90032,315615,7140
90035,315615,7140
90056,315615,7140
90402,315615,7140
90403,315615,7140
90405,315615,7140
90401,315615,7140
90274,315615,7140
90018,315615,7140
90026,315615,7140
90016,315615,7140
90021,315615,7140
90746,315615,7140
90733,315615,7140
90254,315615,7140
90210,315615,7140
90079,315615,7140
