zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
95120,0.59,0.03,0.29,44.02,0.01,0.64,0.95,0.74,0.72,205454.88
95121,0.26,0.03,0.56,38.91,0.01,0.35,0.8,0.76,0.67,144162.0
95122,0.25,0.02,0.33,32.92,0.02,0.14,0.6,0.72,0.57,83909.31
95123,0.56,0.04,0.22,38.0,0.01,0.39,0.89,0.77,0.61,133650.9
95124,0.7,0.01,0.18,41.33,0.01,0.53,0.94,0.78,0.6,176746.89
95125,0.73,0.01,0.13,42.07,0.02,0.56,0.93,0.79,0.52,174610.0
95126,0.58,0.04,0.16,36.67,0.03,0.51,0.88,0.79,0.41,155127.25
95127,0.29,0.02,0.25,35.18,0.01,0.22,0.74,0.75,0.56,105703.5
95128,0.52,0.05,0.15,34.36,0.02,0.38,0.82,0.77,0.42,105060.71
95129,0.28,0.01,0.66,42.28,0.0,0.71,0.96,0.73,0.72,186528.82
95130,0.53,0.02,0.31,39.2,0.0,0.49,0.9,0.79,0.52,155806.0
95131,0.14,0.0,0.78,42.6,0.03,0.43,0.89,0.77,0.64,132478.0
95132,0.2,0.02,0.64,40.94,0.01,0.43,0.87,0.75,0.64,126863.33
95133,0.14,0.02,0.69,37.47,0.01,0.42,0.81,0.73,0.6,114885.0
95134,0.33,0.04,0.38,32.27,0.0,0.52,0.89,0.74,0.51,127958.0
95135,0.33,0.02,0.56,46.72,-0.0,0.5,0.88,0.75,0.67,155336.83
95136,0.54,0.04,0.26,37.54,0.01,0.46,0.91,0.77,0.55,135745.11
95138,0.55,0.02,0.28,40.3,0.01,0.44,0.88,0.76,0.61,163732.67
95139,0.62,0.02,0.17,38.45,0.01,0.5,0.93,0.78,0.72,150302.5
95141,0.79,0.01,0.11,53.3,0.01,0.53,0.96,0.75,0.74,231746.0
95148,0.22,0.03,0.54,39.51,0.01,0.36,0.83,0.75,0.71,136390.67
95153,0.59,0.06,0.22,38.6,0.02,0.31,0.87,0.78,0.63,108991.0
95155,0.73,0.03,0.08,43.9,0.03,0.56,0.92,0.81,0.47,193099.0
95160,0.56,0.0,0.38,44.2,-0.0,0.63,0.96,0.82,0.74,195848.0
95161,0.16,0.07,0.69,34.1,0.01,0.66,0.96,0.71,0.57,138225.0
95172,0.37,0.1,0.37,31.2,0.03,0.62,0.96,0.71,0.21,131275.0
95173,0.31,0.02,0.51,40.0,0.02,0.21,0.64,0.78,0.59,87459.0
95202,0.45,0.18,0.11,32.35,0.03,0.12,0.63,0.54,0.2,44096.5
95203,0.54,0.13,0.08,33.7,0.03,0.13,0.72,0.6,0.34,53311.0
95204,0.61,0.06,0.12,35.94,0.01,0.22,0.82,0.61,0.37,76464.8
95205,0.53,0.06,0.09,31.29,0.03,0.06,0.57,0.59,0.43,46393.62
95206,0.45,0.11,0.17,30.71,0.02,0.06,0.57,0.57,0.45,51593.0
95207,0.45,0.13,0.14,33.79,0.02,0.19,0.82,0.63,0.37,63534.55
95208,0.47,0.04,0.17,28.3,0.02,0.07,0.69,0.59,0.45,60560.0
95209,0.48,0.11,0.17,36.93,0.01,0.18,0.84,0.67,0.5,81555.67
