celebrity,zipcode
"""King Ernest"" Baker",93454
Apostle of California,93922
General,95204
Abe Shires,95817
Abraham Coles,93940
Adela Rogers St. Johns,93433
Adrian Dalsey,94596
Adrienne Rich,1982
Agustín V. Zamorano,93940
Agustín Vicente Zamorano,93940
Ah Toy,95110-2007
Al Bernardin,93940
Al Gionfriddo,93463
Al Glossop,94596
Al Gould,95110-2007
Al Helfer,95817
Alain Renoir,95627
Alan B. Shepard Jr.,93953
Alan Bible,95603
Alan Cheuse,95110-2007
Alan Shepard,93953
Alan Shugart,95110-2007
"Albert C. Martin, Jr.",93401-8114
Albert William Christian Theodore Herre,1982
Albert William Herre,1982
Alberto Reynoso,95817
Alden G. Barber,94583
Aldis Bernard,95110-2007
Alex Kampouris,95817
"Alexander ""Skip"" Spence",1982
Alexander Hamilton Willard,95757
Alexander Vraciu,95691
Alexander Weygers,0
Alfred A. Hart,94566
Alfred C. Crowle,94517
Alfred Charles Crowle,94517
Alfred Santell,93901
Alice Haskins,95051-1880
Alisa Bellettini,95817
Alister MacKenzie,1982
Allan Grant,94513
Allen Case,96161
Allen Funt,93953
Alma Hanlon,93940
Alma Ziegler,93402
Alonzo Delano,95945
Aloysius Masnata,95032
Aloysius MasnataS.J.,95051-1880
Aloysius Varsi,95051-1880
Alphonse Gallegos,95991
Alphonso Boone,0
Altie Taylor,95817
Alva Liles,95817
Amanda Blake,95817
Amos Alonzo Stagg,95204
Amos Marsh,95110-2007
Amos P. Catlin,95817
Andranik,95928
Andranik Ozanian,95928
Andrew Duggan,0
Andrew Martinez,95051-1880
András Wanié,95817
Andy Gilbert,0
Andy Piercy,95110-2007
Ann Doran,95608
Ann T. Bowling,0
Annette Benson,95051-1880
Annie Law,95076
Ansel Adams,93922
Anson Weeks,95817
Archie Yelle,95695
Arky Vaughan,96110
Arnold Wolf,93950
Art Beckley,94566
Art Clokey,93402
Art Van Damme,95678
"Arthur ""Art"" Davis",94086
Arthur Davis,94086
Arthur Julian,0
Arthur M. Free,95110-2007
Artimus Parker,95817
Ashawna Hailey,95110-2007
Ashawna Hailey (born Shawn Hailey,95110-2007
Audree Norton,94536
Augie Galan,94533
Babatunde Olatunji,93901
Barbara Owens,95110-2007
Beauford T. Anderson,93901
Beauford Theodore Anderson,93901
"Beirne Lay, Jr.",0
Belle Cooledge,95817
Ben Guintini,95678
Ben Harrell,93940
Ben Moreell,95624
Ben Winkelman,95817
Benjamin Holt,95204
Benjamin Leroy Holt,95204
Benjamin Libet,0
Bernard Daly,94550
Bernard Dartanian Richter,95928
Bernard Jackson,93436
Bernard R. Hubbard,95051-1880
Bernat Martínez,93940
Bernie Leahy,94596
Bernie Richter,95928
Bert R. Bulkin,95241
Bertram (Bert) R. Bulkin,95241
Betty Mack,95667
Betty Miles,95326
Beverlee McKinsey,93454
Bevo LeBourveau,95959
Bhante Dharmawara,95204
Bill Blackbeard,95076
Bill Clemensen,95714
Bill Conroy,95610
Bill Cunningham,95932
Bill Greene,95817
Bill James,95965
Bill Koski,95350
Bill Lillard,93401-8114
Bill Marshall,95817
Bill Munson,95241
Bill Posedel,94550
Bill Renna,95110-2007
Bill Rigney,94596
Billy Booth,93401-8114
Billy Costello,95110-2007
Billy Halop,94513
Bob Bellinger,95051-1880
Bob Denton,95204
Bob Gardiner,95945
Bob Herwig,95817
Bob Kammeyer,95817
Bob King,94596
Bob Loane,93940
Bob McHale,95817
Bob Nimmo,93422
Bob Pease,95070
Bob Peterson,95110-2007
Bob Roselli,95678
Bob Tetzlaff,95032
Bob Tough,94583
Bob Usher,95110-2007
Bob Wasserman,94536
Bob Wright,95608
Bobby Hutchins,95340
Bobby Keefe,95817
Bobby Robertson,1982
Bobby Schang,95817
Brad Fuller (composer,95110-2007
Brian Asawa,93436
Brian Norton,95051-1880
Brian Roper,94550
Brigitte Bodenheimer,0
Brigitte M. Bodenheimer,0
Bruce Edwards,95817
Bruce Surtees,93922
Buck Kartalian,93436
Buck Saunders,0
Bud Hafey,95817
Bud Sheely,95817
Buddy Gremp,95336
Buddy Peterson,95817
Buddy Ryan,95817
Bunny Breckinridge,93940
Burnett Bolloten,94086
Burr DeBenning,93401-8114
Buzz Sawyer,95817
Byron Barr,95624
Byron Houck,1982
Béla H. Bánáthy,95928
Béla Heinrich Bánáthy,95928
C. Arulampalam,94535
C. B. van Niel,93922
C. R. Johnson,96146
"C. T. Singleton, Jr.",93908
Cal Strong,95608
Caleb V. Haynes,93922
Calvin S. Hall,1982
Captain Mikey,94536
Carl A. Wirtanen,1982
Carl Esmond,94513
Carl Monroe,95110-2007
Carl Mulleneaux,95928
Carl Sharsmith,95110-2007
Carl Switzer,93436
Carlo L. Golino,0
Carmen Mauro,95608
Carr Neel,95051-1880
Cary Odell,93401-8114
"Charles ""Charlie"" Rose",95008
Charles Ball,95928
Charles Boarman,95642
Charles Crocker,93940
Charles D. Shade,94520
Charles Daniels,0
Charles Doe,94517
Charles Douglass,93465-0960
Charles Erskine Scott Wood,95032
Charles Gaylord,94536
Charles Lampkin,95110-2007
Charles Lawrence Boynton,95241
Charles Lee Tilden,94533
Charles Lewis Camp,95110-2007
Charles M. Thomas,93940
Charles McGregor,95051-1880
Charles Meldrum Daniels,0
Charles Mitchell Thomas,93940
Charles S. Dubin,94513
Charles Tod Singleton Jr.,93908
Charles Warren Stoddard,93940
Charles \\\\Charlie\\\\ Rose,95008
Charley Darkey Parkhurst,95076
Charley Parkhurst,95076
Charley Schanz,95817
Charlie Becker,95624
Charlie Boardman,95817
Charlie Enwright,95817
Charlie Nothing,95073
Charlie Root,95023
Charlie Uksila,95051-1880
"Chauncey Thomas, Jr.",93950
Chesley Bonestell,93922
Chester B. Wray,95677
Chester McGlockton,94526
Chester Schaeffer,95051-1880
Chi Cheng,95817
Christine Rosamond,93920
Chuck Britz,95969
Chuck Tatum,95204
Claire Cayot O'Rourke,95971
Clarence Glacken,95817
Clarence S. Ridley,93922
Clark Ashton Smith,93950
Claude Monteux,95817
Cleveland Smith,95350
Cliff Daringer,95817
Clint Ritchie,95678
Clinton Jones,95817
"Clinton Leonard Jones, Jr.",95817
Clyde A. Duniway,95051-1880
Clyde Augustus Duniway,95051-1880
Clyde Mashore,94513
Colleen Moore,93447
Conrad Bain,94550
Cornel Lengyel,95634
Cornelius Bernardus Van Niel,93922
Curt Stern,95817
Curtis W. Tarr,94596
Cynthia Dall,95817
Cynthia Robinson,95608
Dan Curtis,94513
Dan Kemp,95959
Dani Rivas,93901
Daniel Colchico,94520
Daniel E. Koshland Jr.,94596
"Daniel E. Koshland, Jr.",94596
Daniel I. Axelrod,0
Daniel I.J. Thornton,93922
Daniel Isaac J. Thornton,93922
Daniel J. Payne,94566
Daniel Lerner,1982
Daniel Mazia,93940
Daniel Richard Kemp,95959
Danny Nardico,95817
Danny Payne,94566
Darondo,95817
Darrell Johnson,94533
Dave Cox,95628
Dave Melton,95014
Dave Shade,94520
Dave Shannon Morse,95110-2007
Dave Stevens,95382
David A. Huffman,1982
David Carroll,95110-2007
David E. Cox,95628
David Hand,93401-8114
David Lubin,95817
David M. Schneider,1982
David S. Terry,95330
David Shannon Morse,95110-2007
David Underdown,95340
De Peyster Brown,93454
De Peyster Douw Brown,93454
Dee Caruso,94513
Del Berg,95310
Delmer Berg,95310
Dennis Bennett,97601
Derek Alan Trevis,95817
Derek Hall,95110-2007
Derek Trevis,95817
Derrek Dickey,95817
Derwin Abrahams,95616
Dewey Lyle,93447
Diana Adams,95249
Dick Aylward,95726
Dick Barone,95023
Dick Cox,93442
Dick Fouts,93940
Dick Peabody,95709
Dick Price,93920
Dina Babbitt,95041
Dolly Gray,95991
Don Bunce,1982
Don Edwards,93922
Don Heinrich,95070
Don L. Anderson,93428
Don Landrum,94565
Don Messick,93901
Don O'Donoghue,95020
Don Rich,93401-8114
Don Rogers,95817
Don Rose,94520
Donald Cressey,93463
Donald Duane Rosenberg,94520
Donald Edward Osterbrock,1982
Donald H. Owings,0
Donald Merrifield,95110-2007
Donald Montrose,95204
Donald O. Pederson,94520
"Donald P. MerrifieldS.J., Ph.D.",95110-2007
Donald Pederson,94520
Donald Reed,0
Doris Gates,93922
Doris Schroeder,95817
Dorothea Puente,93610
Dorothy DeBorba,94596
Dorothy Kingsley,93940
Douglas Greer,1982
Douglas I. McKay,95110-2007
Douglas Imrie McKay,95110-2007
Dr. Ernest B. Price,95032
Dr. Robert C. Fritz,95110-2007
Drungo Hazewood,95817
Duane Pillette,95110-2007
Dusty Miller,95204
Dwayne O'Steen,94533
E. Charlton Fortune,93922
Earl Cooper,95301
Earl Lawson,95817
Earl McNeely,95817
Ed Benedict,95603
Ed Burns,93940
Ed Callahan,95817
Ed Campion,93901
Ed Cassidy,95110-2007
Ed Hutchinson,95713
Ed McCreery,95817
Ed Wolfe,95350
Edana Romney,93454
Eddie Andreini,94535
Eddie Joost,95628
Eddie Kaw,94596
Eddie LeBaron,95204
Edgar Bodenheimer,0
Edgar Lacy,95817
Edith Summers Kelley,95032
Edith Thacher Hurd,94596
Edmond L. DePatie,93610
Edmund Bower Sebree,93908
Edmund Sebree,93908
Edward A. Stevenson,0
Edward Alexander Walker,95110-2007
Edward Gilbert,95817
Edward Hinkley Plummer,93950
Edward J. Livernash,95051-1880
Edward O. Smith,95110-2007
Edward Weston,93922
Edward Winslow Gifford,95969
Edwin B. Copeland,95928
Edwin B. Crocker,95817
Edwin Copeland,95928
Edwin H. Knopf,94513
Edwin L. Z'berg,95817
Edwin T. Layton,93922
Edwin Thomas Layton,93922
Efrem Zimbalist Jr.,93463
"Efrem Zimbalist, Jr.",93463
Eleanor A. Garatti,94596
Eleanor Garatti,94596
Elizabeth Linington,93433
Ella Young,93445
Elmer Carter,95670
Elmer Ivan Applegate,97601
Elmer Robinson,95969
Elmer Schwartz,0
Elmer Stricklett,1982
Elmer T. Cunningham,93940
Elwood Bruner,94514
Emil M. Mrak,0
Emil Marcel Mrak,0
Emile Norman,93940
Emory Sherwood Adams,93940
Eric Berne,93922
Eric Hill,93465-0960
Eric Lansdown Trist,93922
Eric Temple Bell,95076
Eric Trist,93922
Eric Zentner,93427
Eric \\\\Big Daddy\\\\ Nord,95032
Eric the Actor,95817
Ernest B. Price,95032
Ernest Gallo,95350
Ernie Ball,93401-8114
Ernie Ball corporation,93401-8114
Ernie Caddel,95678
Ernie Johnson,95817
Ernie Lombardi,1982
Ernie McAfee,93953
Ernie Renzel,95110-2007
Ernst Brandsten,95051-1880
Ernst Levy,0
Eshai Shimun XXIII,95110-2007
Estanislao,93940
Ethel Catherwood,95945
Eugene B. Sherman,94566
Eugene Carl Lenz,93401-8114
Eugène Smith,93401-8114
Evelyn Knight,95110-2007
Everett Shelton,95817
Everis A. Hayes,95110-2007
Eyvind Earle,93922
Fan Ho,95110-2007
Feg Murray,93922
Fernando Alegría,94596
Ferris Fain,95634
Ferris Webster,93444
Fess Parker,93460
Florence Casler,95697
Florence Owens Thompson,95066
Floyd Olin Smith,95041
Floyd Smith,95041
Forrest Blue,95608
Forrest Smithson,94517
Frances Anne Rafferty,93447
Frances Rafferty,93447
Frances Sutah (Polly) Smith,95603
Francis Ernest Lloyd,93922
Francis McComas,93953
Frank Arellanes,95110-2007
Frank Armitage,93447
Frank Day,95817
Frank Graves,95110-2007
Frank Hays,93922
Frank Kerr Hays,93922
Frank Montague Moore,93922
"Frank S. Souchak, Jr.",93953
Frank Salsedo,95336
Frank Souchak,93953
Frank Wanlass,95051-1880
Frankie Crosetti,95204
Frankie Kelleher,95204
Frankie Lee,95817
Fred Agabashian,94507
Fred Ball,95817
Fred Iltis,95110-2007
Fred Lewis,95817
Fred R. Pierce,95817
Fred Scolari,94583
Fred Swanton,1982
Fred Tauby,94520
Fred Uhl Ball,95817
Freddie Muller,0
Frederick C. Williams,0
Frederick Claudius Williams,0
Frederick Coppins,94550
Frederick Feary,95204
Frederick George Coppins,94550
Frederick Spratt,95110-2007
Frenchy Uhalt,94596
Frieda Hardin,94550
Frieda Mae Green Hardin,94550
Fritz Coumbe,95969
G. D. Spradlin,93401-8114
G. Ledyard Stebbins,0
G. William Skinner,0
Gabriel A. Almond,93950
Gabriel Almond,93950
Gail Bruce,93454
Gail Russell,94513
Gale Staley,94596
Gale Storm,94526
Gary Kildall,93940
Gary Webb,95608
Gary Woods,93463
Gene Lenz,93401-8114
Gene Ollrich,93401-8114
Gene Page,0
Genevieve Stebbins,93940
Geoffrey Picard,96145
George Allan Hancock,93454
George Armstrong,94520
George Barnes,94520
George Brown,95678
George Crowe,95670
George Darby,95817
George Dorn,95928
George Eckstein,94513
George F. Marion,93922
George Frenn,95817
George Harper,95204
George Horine,95350
George Leite,94596
George Leslie Horine,95350
George Q. Cannon,93940
George Quellich,96102
George S. Myers,95066
George Savalas,0
George Schmees,95110-2007
George Schoener,95051-1880
George Snook,95928
George Sutton Snook,95928
George W. Dorn,95928
George William Skinner,0
"George Windle Read, Jr.",93908
Georgia Bullock,93940
Georgie Stoll,93940
Gerald Clawson,94520
Gerald Small,95817
Gerhard Ringel,1982
Gino Cimoli,95678
Gladys Blake,95817
Gladys Walton,93442
Glen Sherley,93926
Glenn E. Coolidge,1982
Gloria E. Anzaldúa,1982
Gloria Evangelina Anzaldúa,1982
Gonzalo Rodriguez,93908
Gonzalo Rodríguez,93908
Gordon Jones,95241
Gordy Soltau,95051-1880
Greg Hall,95110-2007
Gregory P. Schmidt,95610
Grove L. Johnson,95817
Grover Baichley,95110-2007
Gus Arriola,93922
Gus Triandos,95110-2007
H.J. Shen,95032
H.J. Shen (Shen Hsi-Jui,95032
Hal Chase,95932
Hal Mitchell,95076
Hal Rhyne,95662
Hal Walker,95376
Haley Paige,93930
Hank Ketcham,93922
Hank Steinbacher,95817
Hap Collard,95327
Happy Smith,95110-2007
Hariprasad Vyas,95110-2007
Harl Maggert,95610
Harold Arthur Poling,93950
Harold Crisler,95051-1880
Harold Olmo,0
Harold T. Johnson,95678
Harry Bright,95817
Harry Gandy,95032
Harry Hooper,1982
Harry Leon Wilson,93922
Harry Lochhead,95204
Harry Love,95051-1880
Harry W. Brown,94596
Harvey Elliott White,95350
Harvey Hancock,93940
Hassan Poladi,95204
Hazel Court,96146
Hazel Keener,93950
Heinie Reitz,95817
Heinrich Sylvester Theodor Tiling,95959
Helen Astin,94513
Helen Martin,93940
Helen Ware,93922
Helen Wills,93922
Henry A. Bamman,95677
Henry Brevard Davidson,94550
Henry Glass,93447
Henry Homburger,95817
Henry O'Brien,95051-1880
Henry P. Haun,95901
Henry Peter Haun,95901
Herb Hippauf,95051-1880
Herbert Blumer,94526
Herbert E. Douglass,95678
"Herbert E. Douglass, Jr",95678
Herbert George Blumer,94526
Herbert J. Ray,95903
Herbert James Ray,95903
Herman Pillette,95817
Hermann Fränkel,1982
Hilde Reiss,95010
Hiram Batchelder,95928
Hiram Treat Batchelder,95928
Ho Fan,95110-2007
Homer Scott,95817
Howard Brett Melendy,95014
Howard Brubeck,94520
Hub Walker,95110-2007
Hubert Howe Bancroft,94596
Hugh De Lacy,95073
Hugh McElroy LaRue,0
Hugh O'Bryant,0
Hyron Spinrad,94596
Ike Frankian,93620
Ingemar Henry Lundquist,0
Ira Remsen,93922
Irene Dalis,95110-2007
Irene Hunt,93447
Iris Chang,95032
Irving Guyer,95959
Isaac Lester,93401-8114
Isaac Roop,96130
J. Ellis Rodley,0
J. Lee Rankin,1982
J. Leroy Johnson,95204
"Jack ""Lucky"" Lohrke",95110-2007
Jack Barnett,0
Jack D. Forbes,0
Jack G. Real,93436
Jack Gilligan,95350
Jack Guthrie,94550
Jack LaLanne,93442
Jack Lambert,93922
Jack Larscheid,95817
Jack Lohrke,95110-2007
Jack Real,93436
Jack Sheridan,95110-2007
Jack Tramiel,95030
Jack Westland,93953
Jack Z. Anderson,95023
Jackie Lynn Taylor,95610
Jaime Escalante,95678
"James ""John"" Gruber",95051-1880
James A. Louttit,93950
James Algar,93922
James Arness,94513
James Behrens,95110-2007
James Budd,95204
James C. Lucas,95817
James C. Needham,95350
James D. Phelan,95070
James Davison,0
James Dean,0
James Ellison,93940
James F. Reed,95110-2007
James Griffith,39424
James Gruber,95051-1880
James Herbert Budd,95204
James L. Gillis,95817
James Lee Barrett,93465-0960
James Louis Gillis,95817
James McCoubrey,94596
James N. Goodier,95032
James Rolph,95051-1880
James T. Farley,95642
James Thompson Farley,95642
James Van Ness,93401-8114
James W. Marshall,95667
Jan Savitt,95817
Jane Bryan,93953
Jane Murfin,94513
Jane Russell,93454
Janelle Johnson,95032
Janet Gray Hayes,95070
Janice Romary,97601
Janice-Lee York Romary,97601
Jay Hughes,95817
Jay L. Nova,95817
Jean Arthur,93922
Jean Saint-Fort Paillard,93953
Jeannette Rankin,93922
Jenna McMahon,93940
Jeremy Lusk,95110-2007
Jerome R. Waldie,95667
Jerrold E. Lomax,93940
Jerry Lambert,93460
Jerry Mullen,95817
Jerry Quarry,93465-0960
Jesse De Vorska,0
Jim Cronin,94520
Jim Lawson,93922
Jim Lea,95110-2007
Jim Mangan,95110-2007
Jim Marquis,95642
Jim Nelson,95817
Jim Pagliaroni,95945
Jim Pollard,95204
Jim Ray Hart,95220
Jim Stiger,93436
Jim Tabor,95817
Jim Westlake,95817
Jimmy Arnold,95817
Jimmy Wakely,93436
Joan Crespí,93922
Joan Fontaine,93923
Joan Warnow-Blewett,94507
Joaquin Murrieta,0
Joaquin Murrieta Carrillo,0
Joe Aguirre,95945
Joe Bennett,93442
Joe Brovia,1982
Joe DeLuca,94520
Joe E. Brown,94513
Joe Gibson,95817
Joe Gordon,95817
Joe James,95110-2007
Joe Lapis,93453
Joe Lopes,95230
Joe Marty,95817
Joe Ossanna,93940
"Joe Serna, Jr.",95817
John A. Alonzo,94513
John A. McCone,93953
John A. Nejedly,94596
John Abram Wayland,0
John Augustus Raffetto,95603
"John Augustus Raffetto, Sr.",95603
John B. Johnson,95817
John B. Mockler,95817
John Beal,1982
John Bidwell,95928
John Bigler,95817
John Billingham,95945
John C. Edwards,95204
John Cahill,94566
John Carta,95817
John Cummins Edwards,95204
John Currey,95620
John Denver,93940
John Derek,93454
John Ellis Rodley,0
John Flint Kidder,95945
John Forsythe,93460
John G. Zimmerman,93940
John Guzik,93901
John H. Reese,93454
John H. Tolan,0
John Henry Johnson,95376
John Honeycutt Hinrichs,93940
John Hoyt,1982
John Hubbard,95110-2007
John Humphries,93901
John Johnson,95110-2007
John Knight,94596
John Linley Frazier,95640
John Lo Schiavo,95032
John McCone,93953
John McPartland,93940
John Mikaelsson,95631
John Mockler,95817
John Nesbitt,93922
John Nisby,95204
John Nobili,95051-1880
John NobiliS.J.,95051-1880
John Noble Goodwin,0
John Olmsted,95959
John Paulsen,94583
John Pinasco,95032
John PinascoS.J.,95032
John R. Pierce,94086
John Reginald Richardson,94536
John Robinson Pierce,94086
John Rollin Ridge,95945
John Roy Whinnery,94596
John Rudometkin,95658
John Studebaker,94596
John Sturges,93401-8114
John Thomas Idlet,0
John Trudell,95051-1880
John Ulric Nef,93922
John Vasconcellos,95051-1880
John Vernon,0
John W. Gilmore,95695
John Ward Studebaker,94596
John Wayland,0
John William Fenton,1982
John William Theodore Youngs,1982
John Woodcock,94536
John Zuinglius Anderson,95023
John van Geen,93953
Johnny Ezersky,94596
Johnny Heartsman,95817
Johnny Jacobs,95204
Johnny Seven,93436
Johnny Vergez,95965
Johnny Weekly,94596
Jonas Hoyl,95928
Jonas Marion Hoyl,95928
Joseph Edward Gallo,95334
Joseph F. Holt,93454
Joseph Fleck,94566
Joseph Lopes,95230
Joseph Mansfield,95204
Josh Billings,93940
Josh Billings (Henry Wheeler Shaw,93940
Josiah Butterfield,95004-9525
José Agdamag,94533
José María Montealegre,95110-2007
José Montoya,95817
José de los Reyes Berreyesa,93940
Juan Crespí,93922
Juan Gonzalez,94566
Juana Maria,93454
Judith Hayes,95252
Judith Scott,95714
Julio Gallo,95376
Junípero Serra de la shajairah,93922
Justin Leroy Johnson,95204
K. Arulanandan,94596
Kage Baker,93449
Kamara James,95350
Kamara Latoya James,95350
Karl Germer,95255
Karl Johannes Germer,95255
Keenan Wynn,94513
Keith Falconer Fletcher,95350
Ken Penner,95817
Ken Walters,94583
Kenn Davis,95678
Kenneth Harlan,95817
Kenneth Muse,93465-0960
Kenneth Parnell,95687
"Kenneth Street, Jr.",95969
Kenny Baker,93463
Kent Smith,95959
Kent Warner Smith,95959
Kettle Wirts,95817
Kevin Sharp,95628
King Ernest Baker,93454
King Vidor,93447
Kristine Miller,93940
L. Ron Hubbard,0
Laci Peterson,95350
Ladislav Pataki,95110-2007
Lafayette Henion,93401-8114
Lakshman Singh,95382
Lamont Johnson,93940
Larry N. Vanderhoef,0
Laura de Force Gordon,95241
Lawrence Alexander Hardie,93955
Lawrence K. Karlton,95817
Lee Blair,95073
Lee Bowman,94513
Lee Roberts,93660
Lefty Hayden,95241
Len Dondero,94536
Len Rice,95370
Leo Righetti,95110-2007
Leo Thomas,94520
Leo Willis,0
Leonard Firestone,93953
Leonard Victor Finder,95817
Leroy F. Greene,95608
Les Rock,0
Les Webber,93454
Leslie Glasgow,95110-2007
Leslie Lloyd Glasgow,95110-2007
Lester Rodney,94596
Lew Welch,95959
Lincoln Steffens,93922
Lindsay Applegate,97601
Linus Pauling,93920
Lloyd Hittle,95241
Lloyd Johnson,95204
Lloyd L. Morain,93922
Lloyd Morain,93922
Lloyd Stogell Shapley,94566
Lloyd Stowell Shapley,94566
Loren L. Ryder,93940
Lou Marotti,95032
Lou Nova,95817
Lou Tost,95051-1880
Loye Holmes Miller,0
Lucile Gleason,94513
Luis Antonio Argüello,93940
Luis Manuel Quintero,93940
Luke Glavenich,95204
Lyle Bettger,93422
Lynwood Drake,0
M. Brewster Smith,1982
Mack Wheat,93635
Mae Nolan,95817
Magin Catalá,95051-1880
Maidie Norman,95110-2007
Malcolm Baldrige,94596
"Malcolm Baldrige, Jr.",94596
Malcolm Dole,95032
Manuel Herrick,95971
Marcel Vogel,95110-2007
Marcellite Garner,95945
Marcia Davenport,93940
Margaret Bert,95817
Margaret Chisholm,95070
Margaret Craven,95817
Margaret E. Chisholm,95070
Maria Alquilar,95817
Marian Gilman,95991
Marian Ulman Gilman,95991
Marilyn Borden,95350
Mario G. Obledo,95817
Marion Barton Skaggs,94566
Marion Broadstone,94566
Marion Cunningham,94596
Marion De Vries,95258
Mark Spoelstra,95666
Marshall Rogers,94536
Martha Tilton,94513
Martin Flavin,93922
Marty Feldman,95032
Marty Paich,93460
Marvin Chester,1982
Mary Aguirre,95110-2007
Mary Bernard Aguirre,95110-2007
Mary Blair,95073
Mary Brave Bird,95729
Mary Elizabeth Quigley,95051-1880
Mary Haas,94566
Mary Lea Heger,95066
Mary Lee,95817
Mary Loos,93940
Mary Nash,94513
Mary R. Haas,94566
Mary Young Hunter,93940
Matthew Josephson,1982
Matthew Sands,1982
Maureen Reagan,95746
Maurice Alexander Natanson,1982
Maurice Natanson,1982
Max Baer,95817
Max Baer Sr.,95817
Max Kleiber,0
Max O. Lorenz,94086
Maximilian Adelbert Baer,95817
Megan Leigh,94535
Mel Kaufman,93401-8114
Mel Mazzera,95204
Mel Queen,93442
Melbourne MacDowell,94587
Melville W. Beardsley,93922
Mercy Dee Walton,95204
Meredith Hunter,0
Merle Anthony,95991
Merlin Kopp,95817
Merlyn Anthony,95991
Merv Shea,95817
Mic Gillette,94520
Michael Lawrence Mery,0
Michael Mery,0
Mike Kelly,95350
Mike Larrabee,93454
Mike Naymick,95204
Mike Wise,0
Miklos Udvardy,95817
Mildred Coles,95969
Miles Goodman,94513
Milo Candini,95336
Milt Gantenbein,95817
Mitch Chetkovich,95945
Mitsu Arakawa,94520
Molly Lamont,94513
Molly O'Day,39424
Momčilo Gavrić,95110-2007
Morley Baer,93940
Morrie Turner,95817
Morton Marcus,1982
Nancy Bayley,93922
Neil Bartlett,94596
Neil Reed,93454
Neil Travis,93433
Neill Sheridan,94509
Neva Patterson,94513
Neville Brand,95817
Newman Johnson,0
Newton Booth,95817
Newton Earp,95817
