celebrity,zipcode
"""Cactus Pete"" Piersanti",0
"""Sahara Sue""",0
60px,92506
A. D. Flowers,92832
A. Earl Hedrick,90605
A. Edward Sutherland,99262
A. Roy Knabenshue,91780
Aaron Bank,92629
Abbey Wiliams Hill,92651
Abbie Newell,92604
Abby Williams Hill,92651
Abe Olman,92270
Abel Fernandez,90605
Abelardo L. Rodríguez,92037
Abner Biberman,92101
Abraham Jay Buckles,0
Abram J. Buckles,0
Adam Brodzisz,92240
Addison Pratt,92805
Adelaide Hiebel,92703
Adele Ritchie,92651
Aden Meinel,0
Admiral Alfred C. Richmond,91711
Adolph Deutsch,92260
Adolph Rickenbacker,92604
Adrianne Wadewitz,99262
Agnes Christine Johnston,92101
Agnes Morgan,92410
Agnes Vernon,92101
Agustín V. Zamorano,92101
Agustín Vicente Zamorano,92101
Akim Tamiroff,99262
Al Adamson,92201
Al Campanis,92832
Al G. Barnes,92201
Al Israel,91790
Al Kvasnak,91006
Al Overton,92674
Al Pearce,92662
Al Rosen,92270
Al Stump,92662
Al Wilson,92336
Alan Freed,99262
Alan Ladd,99262
Alan Morgan,92270
Alan Rodgers,92805
Albert Frey,99262
Albert Goodwill Spalding,92101
"Albert L. Reeves, Jr.",92037
Albert N. Gualano,92410
Albert W. Hawkes,92260
Albert Wahl Hawkes,92260
Albert Zenophile Aubin,0
Albert Zénophile Aubin,0
Alberta Schenck Adams,92805
Alberts Šeibelis,92101
Alex Dreier,92270
Alex Groza,92101
Alex Hannum,92101
Alexander Golitzen,92101
Alexander M. Hardy,89049
Alfred C. Richmond,91711
Alfred D. Robinson,92101
Alfred Fitch,92666
Alfred H. Noble,92037
Alfred Houston Noble,92037
Alfred L. Werker,92604
Alfred Lion,92101
Alfred Mullikin Boyce,92506
Alfred V. Verville,92037
Alice Day,92666
Alice Faye,92270
Alice Hollister,92626
Alice Huyler Ramsey,91723
Alice Marble,99262
Alicemarie Huber Stotler,92886
Allan Kaprow,92024
Allan Rockwell McCann,92101
Allan W. Eckert,92879
Allard Roen,92009-1114
Allen Allensworth,91016
Allen Conkwright,91942
Allen Paulson,92037
Allene Ray,91780
Allie Wrubel,92277
Allison Hayes,92101
Aloha Wanderwell,92662
Alonzo Horton,92101
Alpheus George Barnes Stonehouse,92201
Alphonso Taft,92101
Alva Sibbetts,0
Alvy Moore,92260
Amanda Randolph,91010
Amelita Galli-Curci,92037
Amy Jones,92027-2310
Anatol Josepho,92037
Anders Haugen,92399
Andrea Leeds,99262
Andrew A. Benson,92037
Andrew Aiona Long,0
Andrew Benson,92037
Andrew Joseph Galambos,92604
Andrew Leo Bettwy,92101
Andy Carey,92626
Andy DeMize,92832
Andy Devine,92666
Andy Engman,92372
Andy Fraser,92592
